station_id,station_name,station_latitude,station_longitude,bike_availability_coef,station_popularity
76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,-0.07073954983922826,1288
77.0,11th St at Natoma St,37.7735069,-122.4160402,0.04171632896305122,1643
78.0,Folsom St at 9th St,37.7737172,-122.4116467,-0.09090909090909083,1633
79.0,7th St at Brannan St,37.7734919,-122.4036725,-0.04491017964071853,1366
80.0,Townsend St at 5th St,37.77523486860597,-122.39743709564208,-0.04311251314405884,1943
81.0,Berry St at 4th St,37.77588,-122.39317,-0.06110711718188355,5734
84.0,Duboce Park,37.7692005,-122.4338119,-0.6586345381526104,662
85.0,Church St at Duboce Ave,37.7700831,-122.4291557,-0.3083511777301928,1078
86.0,Market St at Dolores St,37.7693053,-122.4268256,-0.02941176470588225,1794
87.0,Folsom St at 13th St,37.769757,-122.415674,0.11428571428571432,792
